ID,V2,V5,V6,DrivingStyle
DR_24526,1265,10243,2,2
DR_30052,1680,30871,6,2
DR_40928,936,3224,4,2
DR_66033,1503,3315,4,2
DR_45266,929,3022,4,2
DR_40526,1280,8133,2,2
DR_48779,795,2013,3,2
DR_12920,942,5103,2,2
DR_28957,1482,15595,3,1
DR_20795,1674,16189,4,2
DR_63067,971,4849,4,2
DR_12428,581,2122,2,2
DR_27392,542,1184,2,2
DR_11729,554,1509,2,3
DR_23922,1687,19016,5,3
DR_22775,2058,17363,6,1
DR_63109,560,1743,2,1
DR_26365,938,1752,3,3
DR_30468,586,2612,2,3
DR_21143,544,2324,2,2
DR_72840,601,1825,2,3
DR_26522,617,3078,2,2
DR_14760,536,2783,2,2
DR_37810,632,2632,2,3
DR_12694,598,3208,2,3
DR_41771,521,2167,2,3
DR_51969,550,1327,2,3
DR_21911,519,2742,2,3
DR_56103,564,2145,2,2
DR_58210,1724,23475,5,2
DR_39604,559,1724,2,3
DR_24208,1715,20267,6,3
DR_41977,549,2007,2,2
DR_6944,568,3025,2,3
DR_75160,466,1621,2,3
DR_56144,1720,33554,6,1
DR_31574,963,1990,3,3
DR_56888,566,2274,2,3
DR_37594,1689,35184,6,3
DR_68721,1694,25556,6,3
DR_16589,1977,37472,7,3
DR_51079,571,2881,2,2
DR_55543,1697,13890,6,3
DR_5151,1995,24811,5,3
DR_52732,1712,12617,6,1
DR_14626,2061,26024,6,3
DR_37335,1952,27534,6,3
DR_47601,1658,8291,4,2
DR_59008,1722,20866,6,3
DR_60225,1943,27516,6,2
DR_20887,1718,20367,6,3
DR_45533,486,1210,2,2
DR_18656,654,2380,2,3
DR_58131,1697,31296,5,3
DR_6352,1913,9746,5,2
DR_64757,1689,17698,5,3
DR_36512,1852,14212,5,1
DR_6809,1071,9663,2,3
DR_54858,1716,26523,6,1
DR_61456,1779,21245,6,1
DR_64520,1703,17439,6,1
DR_68570,692,2431,2,2
DR_43587,694,3593,2,3
DR_74485,1654,12298,5,3
DR_69818,1719,16355,5,1
DR_4301,1715,29249,6,1
DR_72482,723,3125,2,3
DR_51140,663,2590,2,3
DR_57198,589,2471,2,3
DR_28638,626,2007,2,3
DR_35348,845,4710,2,2
DR_69559,1709,14253,5,1
DR_39827,670,2984,2,2
DR_28250,625,2312,2,2
DR_32447,554,1715,2,2
DR_24159,800,3157,2,2
DR_25152,1490,14929,3,1
DR_25024,555,2692,2,2
DR_72286,560,1565,2,3
DR_61401,600,4700,2,3
DR_43113,567,1719,2,2
DR_19532,546,2532,2,3
DR_35768,540,3549,2,3
DR_57567,561,1773,2,3
DR_15456,537,1218,2,2
DR_55765,606,1822,2,2
DR_73864,577,1753,2,1
DR_45041,518,1734,2,3
DR_44972,569,1410,2,3
DR_40437,538,2458,2,2
DR_36114,550,3578,2,3
DR_58486,556,2751,2,3
DR_46746,563,1625,2,3
DR_48417,561,2241,2,2
DR_45968,522,1724,2,1
DR_6281,574,2921,2,3
DR_45268,501,1269,2,3
DR_28463,553,2341,2,1
DR_63023,590,2408,2,3
DR_17288,574,2501,2,1
DR_56054,969,22591,4,2
DR_69714,544,1652,2,2
DR_32872,1930,25551,5,1
DR_31743,1227,15958,2,1
DR_58272,570,1523,2,3
DR_11124,1448,16313,6,1
DR_57635,1714,20316,5,1
DR_66927,2028,17396,5,1
DR_61127,1708,19815,5,1
DR_32481,732,7050,3,1
DR_53604,1741,22342,6,2
DR_13120,1705,26801,6,3
DR_20711,1690,32930,6,1
DR_44066,776,3512,2,3
DR_15908,1945,14455,5,1
DR_43037,548,2579,2,3
DR_10203,1068,2637,3,2
DR_22843,1711,32403,6,1
DR_45863,455,773,2,1
DR_30680,1050,4991,4,1
DR_36623,1715,32852,6,3
DR_20585,1712,16807,6,1
DR_71355,1248,8691,2,1
DR_61278,979,11874,3,3
DR_24419,1728,24175,6,1
DR_34231,807,1313,3,3
DR_14233,849,1839,3,2
DR_20753,512,1784,2,1
DR_63098,580,1554,2,2
DR_58134,1647,14962,5,2
DR_59023,971,3861,4,2
DR_40110,613,2268,2,2
DR_28634,564,1907,2,2
DR_15809,565,1799,2,2
DR_65224,570,1855,2,2
DR_43161,587,1548,2,2
DR_63161,562,2207,2,2
DR_20428,601,2428,2,2
DR_12617,573,1852,2,2
DR_11053,602,1780,2,2
DR_40514,499,2236,2,2
DR_23368,553,2166,2,2
DR_57545,577,2464,2,2
DR_63360,523,2506,2,2
DR_47381,588,1543,2,2
DR_38025,604,2026,2,2
DR_35959,575,1631,2,2
DR_5457,1706,21455,5,1
DR_32450,556,3181,2,3
DR_15748,1032,6781,2,3
DR_29801,524,1379,2,2
DR_14451,559,1509,2,3
DR_53842,529,1591,2,3
DR_43244,540,1311,2,3
DR_19355,551,1230,2,3
DR_42474,576,2269,2,3
DR_57911,584,1816,2,3
DR_42251,558,2064,2,3
DR_14037,665,2763,2,3
DR_31345,572,1824,2,3
DR_63729,1294,3395,5,3
DR_17257,560,1598,2,2
DR_71857,1640,15528,3,2
DR_40879,960,3097,4,2
DR_28219,932,15341,3,2
DR_14764,576,2157,2,2
DR_59747,514,1733,2,3
DR_22120,565,2251,2,3
DR_56156,1706,35680,6,2
DR_18147,556,2368,2,3
DR_66327,1716,34441,6,3
DR_59124,515,2265,2,1
DR_60130,1069,1666,2,3
DR_36242,632,3072,2,3
DR_66075,634,2943,2,3
DR_5587,521,1377,2,3
DR_51942,586,4172,2,2
DR_37077,711,6489,3,2
DR_24425,544,1920,2,2
DR_49289,1662,27369,6,1
DR_17588,520,2442,2,3
DR_55418,677,1289,2,3
DR_66689,1698,22018,6,1
DR_71747,513,2119,2,1
DR_42784,794,3750,2,1
DR_54360,756,4660,2,3
DR_32056,566,1794,2,1
DR_57723,586,2524,2,1
DR_60499,576,3129,2,3
DR_14453,570,2545,2,2
DR_6853,550,2661,2,1
DR_60249,580,1939,2,2
DR_22073,563,2182,2,2
DR_60904,558,2893,2,2
DR_7072,551,1269,2,2
DR_28889,803,3373,2,2
DR_59621,550,2436,2,2
DR_17574,588,1722,2,2
DR_25901,565,1873,2,2
DR_34514,544,2384,2,2
DR_24247,562,1947,2,2
DR_71652,548,2211,2,2
DR_46700,570,2453,2,2
DR_5139,600,2052,2,3
DR_62797,551,2777,2,3
DR_17504,566,1517,2,3
DR_25017,594,1996,2,3
DR_48621,557,2081,2,3
DR_35362,562,1905,2,3
DR_49756,584,2118,2,3
DR_17005,528,2078,2,1
DR_57592,594,2048,2,3
DR_18222,532,1765,2,3
DR_39653,567,2660,2,3
DR_31585,568,1876,2,3
DR_18515,551,1816,2,3
DR_53927,536,1731,2,3
DR_22660,550,1445,2,3
DR_11469,574,1657,2,3
DR_45609,553,1762,2,2
DR_31970,555,1922,2,3
DR_44479,579,1748,2,3
DR_45789,572,1730,2,3
DR_67269,540,2559,2,3
DR_35375,596,2458,2,3
DR_65304,560,1649,2,2
DR_59853,594,1933,2,3
DR_17063,551,2065,2,3
DR_39677,511,1408,2,3
DR_63735,1716,21132,5,3
DR_68240,1990,27585,5,1
DR_7261,1695,25427,6,3
DR_52917,1720,23824,6,1
DR_15710,1684,19899,6,3
DR_61484,1701,28314,6,1
DR_64743,542,2491,2,3
DR_48708,1506,15843,3,2
DR_61191,558,2329,2,3
DR_49766,1477,10713,5,3
DR_74929,1718,26297,6,2
DR_42797,2054,27901,6,1
DR_52649,545,1164,2,3
DR_73794,1725,19079,5,1
DR_61609,713,2841,2,3
DR_69727,529,1896,2,2
DR_31550,1075,3783,4,3
DR_10783,1505,11687,3,2
DR_26810,1652,21923,4,3
DR_13557,591,2336,2,3
DR_33842,541,1557,2,3
DR_28186,1682,19797,4,2
DR_29831,755,3109,2,3
DR_24773,600,2270,2,2
DR_27301,745,3031,2,2
DR_34879,771,4165,2,2
DR_49580,1312,14175,2,2
DR_14348,1679,15753,5,2
DR_45695,606,2788,2,2
DR_65576,1300,588,3,2
DR_43079,598,1695,2,2
DR_42927,591,2474,2,2
DR_33083,616,3138,2,2
DR_22060,529,1699,2,2
DR_57180,566,2381,2,2
DR_63561,524,1612,2,2
DR_36747,1691,44436,6,2
DR_27833,1693,25574,5,2
DR_21496,557,2428,2,1
DR_73055,1798,31390,6,2
DR_50418,555,1663,2,2
DR_47096,1661,23561,4,3
DR_65900,624,2979,2,3
DR_66318,921,4517,4,1
DR_12887,2046,17012,4,1
DR_64824,1738,20584,5,2
DR_11009,628,2205,2,3
DR_72561,576,2571,2,1
DR_50470,1718,38076,5,1
DR_57227,562,2441,2,2
DR_70088,1692,47696,6,1
DR_20858,518,1042,2,1
DR_15879,517,1542,2,1
DR_12115,1765,36622,6,1
DR_72760,1513,14208,3,1
